
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 1 

2022-01-30 00:57:28.193203: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-01-30 00:57:34.100129: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:89:00.0, compute capability: 7.0
Rewards Agent: 1007.45, Rewards Eval: 1119.09, Total Timesteps: 2440000 episode:243 

Rewards Agent: 1014.44, Rewards Eval: 1039.30, Total Timesteps: 2450000 episode:244 

Rewards Agent: 1033.97, Rewards Eval: 1045.15, Total Timesteps: 2460000 episode:245 

Rewards Agent: 1017.48, Rewards Eval: 1069.39, Total Timesteps: 2470000 episode:246 

Rewards Agent: 1011.23, Rewards Eval: 1067.19, Total Timesteps: 2480000 episode:247 

Rewards Agent: 1018.69, Rewards Eval: 1067.23, Total Timesteps: 2490000 episode:248 

Rewards Agent: 1041.90, Rewards Eval: 1017.51, Total Timesteps: 2500000 episode:249 

Rewards Agent: 1031.46, Rewards Eval: 1182.84, Total Timesteps: 2510000 episode:250 

Rewards Agent: 1016.05, Rewards Eval: 1144.63, Total Timesteps: 2520000 episode:251 

Rewards Agent: 1019.04, Rewards Eval: 1092.66, Total Timesteps: 2530000 episode:252 

Rewards Agent: 1012.39, Rewards Eval: 966.87, Total Timesteps: 2540000 episode:253 

Rewards Agent: 1034.50, Rewards Eval: 975.70, Total Timesteps: 2550000 episode:254 

Rewards Agent: 1020.75, Rewards Eval: 1113.37, Total Timesteps: 2560000 episode:255 

Rewards Agent: 1028.02, Rewards Eval: 874.31, Total Timesteps: 2570000 episode:256 

Rewards Agent: 1017.85, Rewards Eval: 1099.84, Total Timesteps: 2580000 episode:257 

Rewards Agent: 1024.73, Rewards Eval: 1126.49, Total Timesteps: 2590000 episode:258 

Rewards Agent: 1057.36, Rewards Eval: 1055.87, Total Timesteps: 2600000 episode:259 

