For Seed: 103 

Rewards Tr: 125.24, Rewards Val: 127.96, Rewards Eval: 141.89, Total Timesteps: 109933130 episode:207 

Rewards Tr: 137.27, Rewards Val: 137.09, Rewards Eval: 149.47, Total Timesteps: 110533130 episode:208 

Rewards Tr: 141.19, Rewards Val: 140.90, Rewards Eval: 143.48, Total Timesteps: 111133130 episode:209 

Rewards Tr: 138.73, Rewards Val: 140.63, Rewards Eval: 150.98, Total Timesteps: 111733130 episode:210 

Rewards Tr: 140.56, Rewards Val: 147.25, Rewards Eval: 153.27, Total Timesteps: 112333130 episode:211 

Rewards Tr: 134.34, Rewards Val: 135.45, Rewards Eval: 130.39, Total Timesteps: 112933130 episode:212 

Rewards Tr: 131.71, Rewards Val: 135.93, Rewards Eval: 157.19, Total Timesteps: 113533130 episode:213 

Rewards Tr: 134.44, Rewards Val: 132.67, Rewards Eval: 147.37, Total Timesteps: 114133130 episode:214 

Rewards Tr: 126.49, Rewards Val: 127.09, Rewards Eval: 158.90, Total Timesteps: 114733130 episode:215 

Rewards Tr: 135.84, Rewards Val: 136.68, Rewards Eval: 115.48, Total Timesteps: 115333130 episode:216 

Rewards Tr: 135.29, Rewards Val: 131.35, Rewards Eval: 143.96, Total Timesteps: 115933130 episode:217 

Rewards Tr: 136.86, Rewards Val: 138.54, Rewards Eval: 146.30, Total Timesteps: 116533130 episode:218 

Rewards Tr: 139.46, Rewards Val: 135.22, Rewards Eval: 147.12, Total Timesteps: 117133130 episode:219 

Rewards Tr: 140.34, Rewards Val: 137.60, Rewards Eval: 152.01, Total Timesteps: 117733130 episode:220 

Rewards Tr: 139.14, Rewards Val: 132.94, Rewards Eval: 167.36, Total Timesteps: 118333130 episode:221 

Rewards Tr: 134.73, Rewards Val: 131.84, Rewards Eval: 150.56, Total Timesteps: 118933130 episode:222 

Rewards Tr: 135.54, Rewards Val: 137.38, Rewards Eval: 154.92, Total Timesteps: 119533130 episode:223 

Rewards Tr: 132.61, Rewards Val: 130.39, Rewards Eval: 147.34, Total Timesteps: 120133130 episode:224 

Rewards Tr: 139.86, Rewards Val: 139.22, Rewards Eval: 151.37, Total Timesteps: 120733130 episode:225 

Rewards Tr: 146.20, Rewards Val: 143.37, Rewards Eval: 167.43, Total Timesteps: 121333130 episode:226 

Rewards Tr: 133.04, Rewards Val: 143.99, Rewards Eval: 145.74, Total Timesteps: 121933130 episode:227 

