
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 356.14, Rewards Val: 356.44, Rewards Eval: 361.67, Total Timesteps: 67333120 episode:164 

Rewards Tr: 363.13, Rewards Val: 360.97, Rewards Eval: 380.09, Total Timesteps: 67486730 episode:165 

Rewards Tr: 366.89, Rewards Val: 369.35, Rewards Eval: 364.35, Total Timesteps: 67641060 episode:166 

Rewards Tr: 371.72, Rewards Val: 372.74, Rewards Eval: 357.50, Total Timesteps: 67798340 episode:167 

Rewards Tr: 369.92, Rewards Val: 373.77, Rewards Eval: 374.22, Total Timesteps: 67951020 episode:168 

Rewards Tr: 372.26, Rewards Val: 377.69, Rewards Eval: 382.66, Total Timesteps: 68105540 episode:169 

Rewards Tr: 374.37, Rewards Val: 372.83, Rewards Eval: 362.83, Total Timesteps: 68258300 episode:170 

Rewards Tr: 373.87, Rewards Val: 372.72, Rewards Eval: 356.71, Total Timesteps: 68407460 episode:171 

Rewards Tr: 368.13, Rewards Val: 366.64, Rewards Eval: 353.55, Total Timesteps: 68551960 episode:172 

Rewards Tr: 353.94, Rewards Val: 357.44, Rewards Eval: 353.25, Total Timesteps: 68687620 episode:173 

Rewards Tr: 345.38, Rewards Val: 344.61, Rewards Eval: 343.42, Total Timesteps: 68814530 episode:174 

Rewards Tr: 339.41, Rewards Val: 337.59, Rewards Eval: 314.47, Total Timesteps: 68939200 episode:175 

Rewards Tr: 324.84, Rewards Val: 327.10, Rewards Eval: 336.56, Total Timesteps: 69055050 episode:176 

Rewards Tr: 318.05, Rewards Val: 314.50, Rewards Eval: 290.52, Total Timesteps: 69164600 episode:177 

Rewards Tr: 301.03, Rewards Val: 307.26, Rewards Eval: 309.67, Total Timesteps: 69267010 episode:178 

Rewards Tr: 295.50, Rewards Val: 294.66, Rewards Eval: 281.42, Total Timesteps: 69365270 episode:179 

Rewards Tr: 288.54, Rewards Val: 289.44, Rewards Eval: 264.86, Total Timesteps: 69457830 episode:180 

Rewards Tr: 281.92, Rewards Val: 277.20, Rewards Eval: 256.91, Total Timesteps: 69546010 episode:181 

Rewards Tr: 269.44, Rewards Val: 268.93, Rewards Eval: 280.19, Total Timesteps: 69630120 episode:182 

Rewards Tr: 273.40, Rewards Val: 269.74, Rewards Eval: 245.17, Total Timesteps: 69714980 episode:183 

Rewards Tr: 272.95, Rewards Val: 272.44, Rewards Eval: 258.67, Total Timesteps: 69799870 episode:184 

Rewards Tr: 273.00, Rewards Val: 269.75, Rewards Eval: 304.22, Total Timesteps: 69884170 episode:185 

Rewards Tr: 274.39, Rewards Val: 276.26, Rewards Eval: 281.22, Total Timesteps: 69969190 episode:186 

Rewards Tr: 289.21, Rewards Val: 285.46, Rewards Eval: 255.59, Total Timesteps: 70057130 episode:187 

Rewards Tr: 292.96, Rewards Val: 298.76, Rewards Eval: 283.90, Total Timesteps: 70148630 episode:188 

Rewards Tr: 304.46, Rewards Val: 313.49, Rewards Eval: 365.16, Total Timesteps: 70244110 episode:189 

Rewards Tr: 323.15, Rewards Val: 326.02, Rewards Eval: 376.46, Total Timesteps: 70345380 episode:190 

Rewards Tr: 338.80, Rewards Val: 349.52, Rewards Eval: 358.71, Total Timesteps: 70453590 episode:191 

Rewards Tr: 363.55, Rewards Val: 360.52, Rewards Eval: 366.72, Total Timesteps: 70570300 episode:192 

Rewards Tr: 380.28, Rewards Val: 382.53, Rewards Eval: 428.14, Total Timesteps: 70697760 episode:193 

Rewards Tr: 410.48, Rewards Val: 421.76, Rewards Eval: 440.04, Total Timesteps: 70848840 episode:194 

Rewards Tr: 454.08, Rewards Val: 451.93, Rewards Eval: 540.93, Total Timesteps: 71032860 episode:195 

Rewards Tr: 539.11, Rewards Val: 526.72, Rewards Eval: 704.88, Total Timesteps: 71321240 episode:196 

Rewards Tr: 591.35, Rewards Val: 588.90, Rewards Eval: 352.25, Total Timesteps: 71673540 episode:197 

Rewards Tr: 608.48, Rewards Val: 619.53, Rewards Eval: 520.94, Total Timesteps: 72048180 episode:198 

Rewards Tr: 614.37, Rewards Val: 582.94, Rewards Eval: 602.07, Total Timesteps: 72393850 episode:199 

Rewards Tr: 554.00, Rewards Val: 579.64, Rewards Eval: 726.28, Total Timesteps: 72695080 episode:200 

Rewards Tr: 548.01, Rewards Val: 505.84, Rewards Eval: 482.53, Total Timesteps: 72936650 episode:201 

Rewards Tr: 491.09, Rewards Val: 492.43, Rewards Eval: 457.12, Total Timesteps: 73121920 episode:202 

