For Seed: 1 

Rewards Tr: 162.76, Rewards Val: 160.98, Rewards Eval: 152.48, Total Timesteps: 62891710 episode:177 

Rewards Tr: 162.51, Rewards Val: 159.77, Rewards Eval: 151.86, Total Timesteps: 63291710 episode:178 

Rewards Tr: 158.25, Rewards Val: 160.50, Rewards Eval: 155.37, Total Timesteps: 63691710 episode:179 

Rewards Tr: 161.37, Rewards Val: 164.07, Rewards Eval: 130.42, Total Timesteps: 64091710 episode:180 

Rewards Tr: 160.05, Rewards Val: 156.14, Rewards Eval: 158.93, Total Timesteps: 64491710 episode:181 

Rewards Tr: 154.54, Rewards Val: 152.11, Rewards Eval: 119.22, Total Timesteps: 64891710 episode:182 

Rewards Tr: 155.40, Rewards Val: 156.02, Rewards Eval: 114.16, Total Timesteps: 65291710 episode:183 

Rewards Tr: 154.43, Rewards Val: 151.92, Rewards Eval: 130.19, Total Timesteps: 65691710 episode:184 

Rewards Tr: 159.44, Rewards Val: 159.11, Rewards Eval: 140.63, Total Timesteps: 66091710 episode:185 

Rewards Tr: 154.74, Rewards Val: 151.19, Rewards Eval: 132.81, Total Timesteps: 66491710 episode:186 

Rewards Tr: 150.72, Rewards Val: 153.25, Rewards Eval: 133.42, Total Timesteps: 66891710 episode:187 

Rewards Tr: 160.24, Rewards Val: 148.69, Rewards Eval: 142.80, Total Timesteps: 67291710 episode:188 

Rewards Tr: 157.86, Rewards Val: 156.90, Rewards Eval: 148.99, Total Timesteps: 67691710 episode:189 

Rewards Tr: 154.55, Rewards Val: 151.63, Rewards Eval: 137.36, Total Timesteps: 68091710 episode:190 

Rewards Tr: 162.77, Rewards Val: 154.73, Rewards Eval: 140.49, Total Timesteps: 68491710 episode:191 

Rewards Tr: 160.29, Rewards Val: 158.96, Rewards Eval: 143.44, Total Timesteps: 68891710 episode:192 

Rewards Tr: 158.53, Rewards Val: 152.99, Rewards Eval: 145.96, Total Timesteps: 69291710 episode:193 

Rewards Tr: 156.40, Rewards Val: 155.36, Rewards Eval: 146.77, Total Timesteps: 69691710 episode:194 

Rewards Tr: 149.32, Rewards Val: 145.66, Rewards Eval: 159.62, Total Timesteps: 70091710 episode:195 

Rewards Tr: 150.07, Rewards Val: 144.99, Rewards Eval: 145.36, Total Timesteps: 70491710 episode:196 

Rewards Tr: 156.43, Rewards Val: 157.33, Rewards Eval: 131.82, Total Timesteps: 70891710 episode:197 

Rewards Tr: 157.23, Rewards Val: 157.49, Rewards Eval: 164.29, Total Timesteps: 71291710 episode:198 

Rewards Tr: 155.95, Rewards Val: 155.28, Rewards Eval: 123.28, Total Timesteps: 71691710 episode:199 

Elapsed Time: 776.3 minutes 

