For Seed: 102 

Rewards Tr: 137.45, Rewards Disc: -0.07, Rewards Eval: 100.62, Total Timesteps: 56820840 episode:218 

Rewards Tr: 135.39, Rewards Disc: -0.05, Rewards Eval: 124.54, Total Timesteps: 57120840 episode:219 

Rewards Tr: 138.25, Rewards Disc: -0.08, Rewards Eval: 95.00, Total Timesteps: 57420840 episode:220 

Rewards Tr: 137.99, Rewards Disc: -0.08, Rewards Eval: 92.64, Total Timesteps: 57720840 episode:221 

Rewards Tr: 132.27, Rewards Disc: -0.02, Rewards Eval: 95.60, Total Timesteps: 58020840 episode:222 

Rewards Tr: 133.76, Rewards Disc: -0.04, Rewards Eval: 112.26, Total Timesteps: 58320840 episode:223 

Rewards Tr: 135.15, Rewards Disc: -0.05, Rewards Eval: 110.39, Total Timesteps: 58620840 episode:224 

Rewards Tr: 129.62, Rewards Disc: 0.00, Rewards Eval: 113.93, Total Timesteps: 58920840 episode:225 

Rewards Tr: 134.36, Rewards Disc: -0.04, Rewards Eval: 114.77, Total Timesteps: 59220840 episode:226 

Rewards Tr: 132.97, Rewards Disc: -0.03, Rewards Eval: 80.39, Total Timesteps: 59520840 episode:227 

Rewards Tr: 134.05, Rewards Disc: -0.04, Rewards Eval: 98.25, Total Timesteps: 59820840 episode:228 

Rewards Tr: 137.39, Rewards Disc: -0.07, Rewards Eval: 116.46, Total Timesteps: 60120840 episode:229 

Rewards Tr: 137.24, Rewards Disc: -0.07, Rewards Eval: 112.56, Total Timesteps: 60420840 episode:230 

Rewards Tr: 137.06, Rewards Disc: -0.07, Rewards Eval: 120.51, Total Timesteps: 60720840 episode:231 

Rewards Tr: 137.30, Rewards Disc: -0.07, Rewards Eval: 136.50, Total Timesteps: 61020840 episode:232 

Rewards Tr: 137.07, Rewards Disc: -0.07, Rewards Eval: 115.92, Total Timesteps: 61320840 episode:233 

Rewards Tr: 132.00, Rewards Disc: -0.02, Rewards Eval: 114.37, Total Timesteps: 61620840 episode:234 

Rewards Tr: 137.66, Rewards Disc: -0.08, Rewards Eval: 105.20, Total Timesteps: 61920840 episode:235 

