For Seed: 1 

Rewards Tr: 954.52, Rewards Val: 980.50, Rewards Disc: 0.48, Rewards Eval: 960.32, Total Timesteps: 30501640 episode:186 

Rewards Tr: 993.85, Rewards Val: 988.25, Rewards Disc: 0.30, Rewards Eval: 828.68, Total Timesteps: 30757520 episode:187 

Rewards Tr: 976.74, Rewards Val: 993.63, Rewards Disc: -0.02, Rewards Eval: 969.03, Total Timesteps: 31018700 episode:188 

Rewards Tr: 993.83, Rewards Val: 993.45, Rewards Disc: 0.09, Rewards Eval: 1032.80, Total Timesteps: 31274440 episode:189 

Rewards Tr: 1000.11, Rewards Val: 1000.60, Rewards Disc: 0.10, Rewards Eval: 1043.72, Total Timesteps: 31544700 episode:190 

Rewards Tr: 945.29, Rewards Val: 971.20, Rewards Disc: 0.36, Rewards Eval: 809.76, Total Timesteps: 31807030 episode:191 

Rewards Tr: 962.91, Rewards Val: 982.52, Rewards Disc: 0.54, Rewards Eval: 806.14, Total Timesteps: 32069710 episode:192 

Rewards Tr: 928.30, Rewards Val: 957.34, Rewards Disc: 0.59, Rewards Eval: 1003.17, Total Timesteps: 32320430 episode:193 

Rewards Tr: 1033.17, Rewards Val: 1034.33, Rewards Disc: -0.03, Rewards Eval: 788.00, Total Timesteps: 32619140 episode:194 

