For Seed: 1 

Rewards Tr: 1411.94, Rewards Val: 1449.76, Rewards Eval: 1223.62, Total Timesteps: 40476370 episode:168 

Rewards Tr: 1570.59, Rewards Val: 1677.95, Rewards Eval: 1750.34, Total Timesteps: 40787040 episode:169 

Rewards Tr: 1521.91, Rewards Val: 1459.37, Rewards Eval: 1193.02, Total Timesteps: 41086350 episode:170 

Rewards Tr: 1431.90, Rewards Val: 1490.98, Rewards Eval: 987.22, Total Timesteps: 41398320 episode:171 

Rewards Tr: 1912.03, Rewards Val: 1936.14, Rewards Eval: 1913.71, Total Timesteps: 41767370 episode:172 

Rewards Tr: 1640.95, Rewards Val: 1684.68, Rewards Eval: 1570.45, Total Timesteps: 42101590 episode:173 

Rewards Tr: 1924.22, Rewards Val: 1963.27, Rewards Eval: 2487.14, Total Timesteps: 42475130 episode:174 

Rewards Tr: 1857.66, Rewards Val: 1831.25, Rewards Eval: 1539.98, Total Timesteps: 42823080 episode:175 

Rewards Tr: 1620.87, Rewards Val: 1644.30, Rewards Eval: 1946.82, Total Timesteps: 43159240 episode:176 

Rewards Tr: 1924.35, Rewards Val: 1703.47, Rewards Eval: 2141.76, Total Timesteps: 43520130 episode:177 

Rewards Tr: 1799.16, Rewards Val: 1922.44, Rewards Eval: 1728.99, Total Timesteps: 43863880 episode:178 

Rewards Tr: 1921.10, Rewards Val: 2003.77, Rewards Eval: 1887.32, Total Timesteps: 44219750 episode:179 

Rewards Tr: 1614.92, Rewards Val: 1544.24, Rewards Eval: 1551.18, Total Timesteps: 44562560 episode:180 

Rewards Tr: 1792.67, Rewards Val: 1847.64, Rewards Eval: 1172.45, Total Timesteps: 44935570 episode:181 

Rewards Tr: 1820.42, Rewards Val: 1857.19, Rewards Eval: 1937.38, Total Timesteps: 45297970 episode:182 

Rewards Tr: 1753.12, Rewards Val: 1949.39, Rewards Eval: 1413.06, Total Timesteps: 45669630 episode:183 

Rewards Tr: 1744.30, Rewards Val: 1667.56, Rewards Eval: 1259.40, Total Timesteps: 46023010 episode:184 

Rewards Tr: 1580.37, Rewards Val: 1679.62, Rewards Eval: 2312.38, Total Timesteps: 46378420 episode:185 

Rewards Tr: 1875.89, Rewards Val: 1828.51, Rewards Eval: 2035.23, Total Timesteps: 46720380 episode:186 

Rewards Tr: 1866.02, Rewards Val: 1914.54, Rewards Eval: 1976.60, Total Timesteps: 47075600 episode:187 

Rewards Tr: 1867.94, Rewards Val: 1814.47, Rewards Eval: 1656.04, Total Timesteps: 47433510 episode:188 

Rewards Tr: 2126.81, Rewards Val: 2157.57, Rewards Eval: 1976.74, Total Timesteps: 47807500 episode:189 

Rewards Tr: 1874.06, Rewards Val: 1737.58, Rewards Eval: 2226.88, Total Timesteps: 48134310 episode:190 

Rewards Tr: 2015.19, Rewards Val: 2009.66, Rewards Eval: 1427.65, Total Timesteps: 48480480 episode:191 

Rewards Tr: 2126.86, Rewards Val: 1904.93, Rewards Eval: 1786.60, Total Timesteps: 48834800 episode:192 

Rewards Tr: 1844.53, Rewards Val: 1859.70, Rewards Eval: 1936.49, Total Timesteps: 49184090 episode:193 

Rewards Tr: 2489.21, Rewards Val: 2338.11, Rewards Eval: 1916.88, Total Timesteps: 49566900 episode:194 

Rewards Tr: 2076.12, Rewards Val: 2101.31, Rewards Eval: 2870.02, Total Timesteps: 49942850 episode:195 

Rewards Tr: 1989.94, Rewards Val: 1966.50, Rewards Eval: 1446.94, Total Timesteps: 50294490 episode:196 

Rewards Tr: 1665.24, Rewards Val: 1752.17, Rewards Eval: 1215.90, Total Timesteps: 50633810 episode:197 

Rewards Tr: 1772.42, Rewards Val: 1870.23, Rewards Eval: 1651.10, Total Timesteps: 50975810 episode:198 

Rewards Tr: 1900.35, Rewards Val: 1961.53, Rewards Eval: 2120.49, Total Timesteps: 51336900 episode:199 

Rewards Tr: 2007.65, Rewards Val: 2198.95, Rewards Eval: 2089.28, Total Timesteps: 51710980 episode:200 

Rewards Tr: 1964.14, Rewards Val: 1836.49, Rewards Eval: 1790.73, Total Timesteps: 52066650 episode:201 

Rewards Tr: 1717.60, Rewards Val: 1780.44, Rewards Eval: 1675.88, Total Timesteps: 52414810 episode:202 

Rewards Tr: 1928.20, Rewards Val: 1999.64, Rewards Eval: 2140.55, Total Timesteps: 52797950 episode:203 

Rewards Tr: 2036.02, Rewards Val: 1914.25, Rewards Eval: 2090.67, Total Timesteps: 53150590 episode:204 

Rewards Tr: 1626.82, Rewards Val: 1602.66, Rewards Eval: 1758.78, Total Timesteps: 53487600 episode:205 

Rewards Tr: 1706.55, Rewards Val: 1866.49, Rewards Eval: 2294.08, Total Timesteps: 53852490 episode:206 

Rewards Tr: 1951.09, Rewards Val: 1933.75, Rewards Eval: 2185.35, Total Timesteps: 54216160 episode:207 

Rewards Tr: 1739.76, Rewards Val: 1713.00, Rewards Eval: 1891.68, Total Timesteps: 54567320 episode:208 

