
The following have been reloaded with a version change:
  1) mpfr/3.1.6 => mpfr/4.0.1

For Seed: 3 

Rewards Tr: 11.12, Rewards Eval: 0.00, Total Timesteps: 8580 episode:0 
Rewards Tr: 1260.78, Rewards Eval: 1037.91, Total Timesteps: 30237470 episode:233 

Rewards Tr: 1330.84, Rewards Eval: 1135.15, Total Timesteps: 30481570 episode:234 

Rewards Tr: 1270.70, Rewards Eval: 1468.02, Total Timesteps: 30715020 episode:235 

Rewards Tr: 1385.17, Rewards Eval: 967.32, Total Timesteps: 30977200 episode:236 

Rewards Tr: 1288.82, Rewards Eval: 965.11, Total Timesteps: 31211760 episode:237 

Rewards Tr: 1235.60, Rewards Eval: 996.39, Total Timesteps: 31437810 episode:238 

Rewards Tr: 1183.44, Rewards Eval: 815.79, Total Timesteps: 31653040 episode:239 

Rewards Tr: 1188.87, Rewards Eval: 965.83, Total Timesteps: 31871380 episode:240 

Rewards Tr: 1329.11, Rewards Eval: 1527.11, Total Timesteps: 32120890 episode:241 

Rewards Tr: 1469.11, Rewards Eval: 1368.65, Total Timesteps: 32387150 episode:242 

Rewards Tr: 1549.62, Rewards Eval: 1355.90, Total Timesteps: 32670590 episode:243 

Rewards Tr: 1516.35, Rewards Eval: 1584.09, Total Timesteps: 32960550 episode:244 

Rewards Tr: 1475.97, Rewards Eval: 1732.33, Total Timesteps: 33224370 episode:245 

Rewards Tr: 1415.45, Rewards Eval: 1238.98, Total Timesteps: 33481800 episode:246 

Rewards Tr: 1508.69, Rewards Eval: 1367.76, Total Timesteps: 33751320 episode:247 

Rewards Tr: 1578.07, Rewards Eval: 1393.58, Total Timesteps: 34024930 episode:248 

Rewards Tr: 1599.01, Rewards Eval: 2112.54, Total Timesteps: 34306880 episode:249 

Rewards Tr: 1548.43, Rewards Eval: 1252.55, Total Timesteps: 34589400 episode:250 

Rewards Tr: 1749.71, Rewards Eval: 1626.13, Total Timesteps: 34885590 episode:251 

Rewards Tr: 1703.19, Rewards Eval: 1573.68, Total Timesteps: 35181250 episode:252 

Rewards Tr: 1774.40, Rewards Eval: 1694.63, Total Timesteps: 35474900 episode:253 

Rewards Tr: 1592.23, Rewards Eval: 1243.57, Total Timesteps: 35760780 episode:254 

Rewards Tr: 1524.37, Rewards Eval: 1305.04, Total Timesteps: 36038440 episode:255 

Rewards Tr: 1687.24, Rewards Eval: 1712.96, Total Timesteps: 36323280 episode:256 

Rewards Tr: 1871.99, Rewards Eval: 2372.75, Total Timesteps: 36620740 episode:257 

Rewards Tr: 1845.30, Rewards Eval: 2106.88, Total Timesteps: 36918250 episode:258 

Rewards Tr: 1986.93, Rewards Eval: 1289.47, Total Timesteps: 37217520 episode:259 

