For Seed: 1 

Rewards Tr: 1625.72, Rewards Disc: 0.76, Rewards Eval: 1405.16, Total Timesteps: 26055940 episode:212 

Rewards Tr: 1641.40, Rewards Disc: 0.78, Rewards Eval: 1183.15, Total Timesteps: 26229590 episode:213 

Rewards Tr: 1684.88, Rewards Disc: 0.78, Rewards Eval: 1132.15, Total Timesteps: 26414570 episode:214 

Rewards Tr: 1750.48, Rewards Disc: 0.78, Rewards Eval: 1346.49, Total Timesteps: 26604860 episode:215 

Rewards Tr: 1736.66, Rewards Disc: 0.77, Rewards Eval: 1354.84, Total Timesteps: 26791190 episode:216 

Rewards Tr: 1824.21, Rewards Disc: 0.78, Rewards Eval: 1368.25, Total Timesteps: 26984980 episode:217 

Rewards Tr: 1868.77, Rewards Disc: 0.79, Rewards Eval: 1355.40, Total Timesteps: 27178530 episode:218 

Rewards Tr: 1803.83, Rewards Disc: 0.80, Rewards Eval: 1520.34, Total Timesteps: 27365440 episode:219 

Rewards Tr: 1909.69, Rewards Disc: 0.81, Rewards Eval: 1283.07, Total Timesteps: 27562230 episode:220 

Rewards Tr: 1700.62, Rewards Disc: 0.82, Rewards Eval: 1032.04, Total Timesteps: 27755730 episode:221 

Rewards Tr: 1712.76, Rewards Disc: 0.84, Rewards Eval: 1668.72, Total Timesteps: 27948610 episode:222 

Rewards Tr: 1723.40, Rewards Disc: 0.83, Rewards Eval: 1297.44, Total Timesteps: 28143680 episode:223 

Rewards Tr: 1700.07, Rewards Disc: 0.83, Rewards Eval: 1436.74, Total Timesteps: 28339030 episode:224 

Rewards Tr: 1770.99, Rewards Disc: 0.83, Rewards Eval: 1526.77, Total Timesteps: 28530150 episode:225 

Rewards Tr: 1774.21, Rewards Disc: 0.85, Rewards Eval: 1233.47, Total Timesteps: 28721280 episode:226 

Rewards Tr: 1458.46, Rewards Disc: 0.86, Rewards Eval: 1196.50, Total Timesteps: 28904100 episode:227 

Rewards Tr: 1676.89, Rewards Disc: 0.84, Rewards Eval: 1452.60, Total Timesteps: 29102610 episode:228 

Rewards Tr: 1775.05, Rewards Disc: 0.84, Rewards Eval: 1203.02, Total Timesteps: 29298640 episode:229 

Rewards Tr: 1786.54, Rewards Disc: 0.88, Rewards Eval: 1186.21, Total Timesteps: 29498640 episode:230 

Rewards Tr: 1722.68, Rewards Disc: 0.89, Rewards Eval: 1503.64, Total Timesteps: 29695790 episode:231 

