For Seed: 3 

Rewards Tr: -149.43, Rewards Eval: -132.57, Total Timesteps: 100000 episode:0 
Rewards Tr: 1233.16, Rewards Eval: 1233.33, Total Timesteps: 21600000 episode:215 

Rewards Tr: 1230.86, Rewards Eval: 1208.19, Total Timesteps: 21700000 episode:216 

Rewards Tr: 1230.79, Rewards Eval: 1253.67, Total Timesteps: 21800000 episode:217 

Rewards Tr: 1233.51, Rewards Eval: 1238.64, Total Timesteps: 21900000 episode:218 

Rewards Tr: 1230.40, Rewards Eval: 1260.00, Total Timesteps: 22000000 episode:219 

Rewards Tr: 1226.47, Rewards Eval: 1195.30, Total Timesteps: 22100000 episode:220 

Rewards Tr: 1222.29, Rewards Eval: 1218.36, Total Timesteps: 22200000 episode:221 

Rewards Tr: 1223.97, Rewards Eval: 1204.09, Total Timesteps: 22300000 episode:222 

Rewards Tr: 1225.98, Rewards Eval: 1239.26, Total Timesteps: 22400000 episode:223 

Rewards Tr: 1222.57, Rewards Eval: 1235.55, Total Timesteps: 22500000 episode:224 

Rewards Tr: 1231.99, Rewards Eval: 1216.89, Total Timesteps: 22600000 episode:225 

Rewards Tr: 1237.05, Rewards Eval: 1241.72, Total Timesteps: 22700000 episode:226 

Rewards Tr: 1232.17, Rewards Eval: 1244.64, Total Timesteps: 22800000 episode:227 

Rewards Tr: 1224.33, Rewards Eval: 1243.09, Total Timesteps: 22900000 episode:228 

Rewards Tr: 1214.61, Rewards Eval: 1286.62, Total Timesteps: 23000000 episode:229 

Rewards Tr: 1224.24, Rewards Eval: 1162.43, Total Timesteps: 23100000 episode:230 

Rewards Tr: 1219.73, Rewards Eval: 1175.65, Total Timesteps: 23200000 episode:231 

Rewards Tr: 1214.27, Rewards Eval: 1227.92, Total Timesteps: 23300000 episode:232 

Rewards Tr: 1218.89, Rewards Eval: 1220.05, Total Timesteps: 23400000 episode:233 

Rewards Tr: 1216.13, Rewards Eval: 1165.88, Total Timesteps: 23500000 episode:234 

Rewards Tr: 1215.27, Rewards Eval: 1249.78, Total Timesteps: 23600000 episode:235 

Rewards Tr: 1221.92, Rewards Eval: 1230.27, Total Timesteps: 23700000 episode:236 

Rewards Tr: 1232.69, Rewards Eval: 1225.78, Total Timesteps: 23800000 episode:237 

Rewards Tr: 1238.31, Rewards Eval: 1261.06, Total Timesteps: 23900000 episode:238 

Rewards Tr: 1232.73, Rewards Eval: 1177.50, Total Timesteps: 24000000 episode:239 

Rewards Tr: 1231.85, Rewards Eval: 1210.67, Total Timesteps: 24100000 episode:240 

Rewards Tr: 1217.81, Rewards Eval: 1186.90, Total Timesteps: 24200000 episode:241 

Rewards Tr: 1212.65, Rewards Eval: 1210.53, Total Timesteps: 24300000 episode:242 

Rewards Tr: 1202.65, Rewards Eval: 1206.92, Total Timesteps: 24400000 episode:243 

Rewards Tr: 1200.86, Rewards Eval: 1221.24, Total Timesteps: 24500000 episode:244 

Rewards Tr: 1211.51, Rewards Eval: 1216.58, Total Timesteps: 24600000 episode:245 

Rewards Tr: 1217.01, Rewards Eval: 1277.92, Total Timesteps: 24700000 episode:246 

Rewards Tr: 1219.59, Rewards Eval: 1231.04, Total Timesteps: 24800000 episode:247 

Rewards Tr: 1223.57, Rewards Eval: 1249.37, Total Timesteps: 24900000 episode:248 

Rewards Tr: 1217.65, Rewards Eval: 1206.68, Total Timesteps: 25000000 episode:249 

Rewards Tr: 1231.49, Rewards Eval: 1219.40, Total Timesteps: 25100000 episode:250 

Rewards Tr: 1231.03, Rewards Eval: 1233.52, Total Timesteps: 25200000 episode:251 

