For Seed: 1 

Rewards Tr: 155.51, Rewards Eval: 120.32, Total Timesteps: 33128540 episode:185 

Rewards Tr: 158.41, Rewards Eval: 157.27, Total Timesteps: 33328540 episode:186 

Rewards Tr: 156.90, Rewards Eval: 136.56, Total Timesteps: 33528540 episode:187 

Rewards Tr: 161.09, Rewards Eval: 122.97, Total Timesteps: 33728540 episode:188 

Rewards Tr: 155.56, Rewards Eval: 118.81, Total Timesteps: 33928540 episode:189 

Rewards Tr: 159.36, Rewards Eval: 148.53, Total Timesteps: 34128540 episode:190 

Rewards Tr: 163.40, Rewards Eval: 151.40, Total Timesteps: 34328540 episode:191 

Rewards Tr: 151.89, Rewards Eval: 135.52, Total Timesteps: 34528540 episode:192 

Rewards Tr: 153.76, Rewards Eval: 187.98, Total Timesteps: 34728540 episode:193 

Rewards Tr: 155.81, Rewards Eval: 118.44, Total Timesteps: 34928540 episode:194 

Rewards Tr: 159.77, Rewards Eval: 163.22, Total Timesteps: 35128540 episode:195 

Rewards Tr: 159.24, Rewards Eval: 168.35, Total Timesteps: 35328540 episode:196 

Rewards Tr: 154.22, Rewards Eval: 121.17, Total Timesteps: 35528540 episode:197 

Rewards Tr: 163.27, Rewards Eval: 120.58, Total Timesteps: 35728540 episode:198 

Rewards Tr: 162.17, Rewards Eval: 142.55, Total Timesteps: 35928540 episode:199 

Elapsed Time: 365.9 minutes 

