For Seed: 101 

Rewards Tr: 148.35, Rewards Val: 147.59, Rewards Disc: 0.10, Rewards Eval: 153.78, Total Timesteps: 101741230 episode:191 

Rewards Tr: 150.90, Rewards Val: 146.84, Rewards Disc: 0.14, Rewards Eval: 142.27, Total Timesteps: 102341230 episode:192 

Rewards Tr: 150.13, Rewards Val: 147.79, Rewards Disc: 0.12, Rewards Eval: 154.18, Total Timesteps: 102941230 episode:193 

Rewards Tr: 158.33, Rewards Val: 156.96, Rewards Disc: 0.03, Rewards Eval: 166.92, Total Timesteps: 103541230 episode:194 

Rewards Tr: 155.15, Rewards Val: 153.26, Rewards Disc: 0.06, Rewards Eval: 157.26, Total Timesteps: 104141230 episode:195 

