For Seed: 1 

2022-02-12 21:15:05.670137: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-02-12 21:15:09.972670: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1510] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30115 MB memory:  -> device: 0, name: Tesla V100-PCIE-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
Rewards Tr: 1816.56, Rewards Val: 2039.27, Rewards Disc: 0.70, Rewards Eval: 2477.76, Total Timesteps: 9666740 episode:140 

Rewards Tr: 1872.21, Rewards Val: 1859.32, Rewards Disc: 0.71, Rewards Eval: 2629.88, Total Timesteps: 9766740 episode:141 

Rewards Tr: 2021.61, Rewards Val: 1940.65, Rewards Disc: 0.71, Rewards Eval: 2614.56, Total Timesteps: 9866740 episode:142 

Rewards Tr: 1936.56, Rewards Val: 1734.77, Rewards Disc: 0.70, Rewards Eval: 2021.35, Total Timesteps: 9966740 episode:143 

Rewards Tr: 1971.63, Rewards Val: 1948.62, Rewards Disc: 0.73, Rewards Eval: 2300.38, Total Timesteps: 10066740 episode:144 

Rewards Tr: 2109.69, Rewards Val: 1990.78, Rewards Disc: 0.74, Rewards Eval: 1261.83, Total Timesteps: 10166740 episode:145 

Rewards Tr: 1968.52, Rewards Val: 1931.50, Rewards Disc: 0.72, Rewards Eval: 1845.48, Total Timesteps: 10266740 episode:146 

Rewards Tr: 1867.70, Rewards Val: 1958.47, Rewards Disc: 0.67, Rewards Eval: 1830.71, Total Timesteps: 10366740 episode:147 

Rewards Tr: 1903.30, Rewards Val: 2074.49, Rewards Disc: 0.76, Rewards Eval: 1896.66, Total Timesteps: 10466740 episode:148 

Rewards Tr: 2235.85, Rewards Val: 2302.55, Rewards Disc: 0.83, Rewards Eval: 1291.00, Total Timesteps: 10566740 episode:149 

Rewards Tr: 1978.28, Rewards Val: 1956.54, Rewards Disc: 0.74, Rewards Eval: 2344.53, Total Timesteps: 10666740 episode:150 

Rewards Tr: 1867.78, Rewards Val: 1896.54, Rewards Disc: 0.65, Rewards Eval: 2605.69, Total Timesteps: 10766740 episode:151 

Rewards Tr: 2057.27, Rewards Val: 1926.40, Rewards Disc: 0.73, Rewards Eval: 2581.57, Total Timesteps: 10866740 episode:152 

Rewards Tr: 1857.23, Rewards Val: 1802.01, Rewards Disc: 0.69, Rewards Eval: 2457.19, Total Timesteps: 10966740 episode:153 

Rewards Tr: 2039.81, Rewards Val: 2139.87, Rewards Disc: 0.78, Rewards Eval: 1999.30, Total Timesteps: 11066740 episode:154 

Rewards Tr: 2039.60, Rewards Val: 2211.36, Rewards Disc: 0.74, Rewards Eval: 613.46, Total Timesteps: 11166740 episode:155 

Rewards Tr: 2157.45, Rewards Val: 2268.88, Rewards Disc: 0.81, Rewards Eval: 1298.58, Total Timesteps: 11266740 episode:156 

Rewards Tr: 2125.88, Rewards Val: 1959.95, Rewards Disc: 0.73, Rewards Eval: 1840.00, Total Timesteps: 11366740 episode:157 

Rewards Tr: 1703.01, Rewards Val: 1809.80, Rewards Disc: 0.69, Rewards Eval: 2475.04, Total Timesteps: 11466740 episode:158 

Rewards Tr: 1924.33, Rewards Val: 1972.58, Rewards Disc: 0.79, Rewards Eval: 2167.69, Total Timesteps: 11566740 episode:159 

Rewards Tr: 2029.00, Rewards Val: 1986.91, Rewards Disc: 0.84, Rewards Eval: 1923.00, Total Timesteps: 11666740 episode:160 

Rewards Tr: 2139.01, Rewards Val: 2177.86, Rewards Disc: 0.85, Rewards Eval: 1524.75, Total Timesteps: 11766740 episode:161 

